#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,USA,32305912,81773,579942,887,24836187,65207,6889783,9712,97150,1744,426562606,1282751,332,537,343,10,573,1,
2,India,14521683,233943,175673,1338,12666889,122911,1679121,8944,10442,126,263476625,189454,1,390,716,194,96,7917,5
3,Brazil,13834342,76249,369024,3070,12298863,62568,1166455,8318,64721,1726,28600000,133799,213,753,558,15,579,7,
4,France,5224321,36442,100404,313,4046518,38187,1077399,5914,79897,1536,71424719,1092324,65,387,859,13,651,1,
5,Russia,4684148,8995,104795,397,4310557,9109,268796,2300,32087,718,125100000,856943,145,984,33,31,1393,1,
6,UK,4383572,2596,127225,34,4139553,5717,116794,329,64305,1866,140944028,2067597,68,168,33,16,536,0,
7,Turkey,4150039,63082,35320,289,3591550,56510,523169,3205,48792,415,43148200,507296,85,55,316,20,2408,2,
8,Italy,3842079,15943,116366,429,3218975,18779,506738,3366,63620,1927,54532594,902987,60,391,353,16,519,1,
9,Spain,3407283,10598,76981,99,3129234,5966,201068,2180,72853,1646,44285495,946896,46,769,124,14,608,1,
10,Germany,3116950,21934,80387,246,2752000,15900,284563,4740,37108,957,52737238,627854,83,995,966,27,1045,2,
11,Poland,2660111,17870,61209,596,2255232,16594,343670,3425,70348,1619,13335088,352652,37,813,758,14,618,3,
12,Argentina,2658628,29472,59084,159,2324107,23875,275437,3971,58401,1298,10024309,220202,45,523,287,17,770,5,
13,Colombia,2619422,16703,67564,365,2442453,10392,109405,4299,51050,1317,13693403,266871,51,310,940,20,759,4,
14,Mexico,2295435,4189,211213,401,1820959,3093,263263,4798,17657,1625,6355381,48887,130,1,965,57,616,20,
15,Iran,2194133,25261,66008,328,1761497,12456,366628,4652,25862,778,14165771,166969,84,840,750,39,1285,6,
16,Ukraine,1921244,17479,39096,438,1465820,12054,416328,177,44141,898,8869518,203779,43,525,192,23,1113,5,
17,Peru,1689051,7988,56454,305,1610563,8529,22034,2591,50671,1694,10295559,308862,33,333,897,20,590,3,
18,Czechia,1597135,3254,28369,75,1495318,279,73448,1016,148921,2645,15332422,1429635,10,724,712,7,378,1,
19,Indonesia,1594722,5363,43196,123,1444229,5975,107297,,5782,157,13732975,49792,275,806,497,173,6385,20,
20,South Africa,1564355,1424,53663,92,1488572,512,22120,546,26117,896,10291264,171812,59,898,425,38,1116,6,
21,Netherlands,1387043,8898,16873,12,1156626,5910,213544,775,80807,983,11292587,657889,17,164,888,12,1017,2,
22,Chile,1109311,7613,24923,157,1037539,4350,46849,3277,57639,1295,12206029,634217,19,245,815,17,772,2,
23,Canada,1106062,9346,23541,41,997202,7128,85319,1089,29104,619,29497034,776166,38,3,522,34,1614,1,
24,Romania,1023565,3264,25937,137,930942,5547,66686,1493,53490,1355,7847540,410097,19,135,798,19,738,2,
25,Iraq,964435,7561,14915,30,843851,6515,105669,494,23562,364,8732638,213348,40,931,458,42,2744,5,
26,Belgium,939309,3993,23636,33,789423,3128,126250,941,80769,2032,11864005,1020162,11,629,525,12,492,1,
27,Philippines,914951,10706,15738,145,705733,626,193480,750,8263,142,11036556,99670,110,731,18,121,7036,10,
28,Sweden,900138,,13788,36,724684,6406,161666,391,88692,1359,7847033,773179,10,149,50,11,736,1,
29,Israel,836740,34,6315,1,827745,298,2680,201,90974,687,13929118,1514431,9197590,11,1456,1,,,
30,Portugal,829911,553,16937,4,787607,596,25367,101,81579,1665,9690372,952546,10,173,131,12,601,1,
31,Pakistan,745182,5364,15982,110,650775,4123,78425,4302,3323,71,11007252,49081,224,265,640,301,14032,20,
32,Hungary,742198,5216,24762,241,445920,5422,271516,1117,76984,2568,5065759,525445,9,640,900,13,389,2,
33,Bangladesh,711779,4417,10182,101,602908,5694,98689,,4288,61,5134478,30933,165,984,716,233,16302,32,
34,Jordan,681870,2732,8117,60,625912,4042,47841,729,66310,789,6448333,627081,10,283,101,15,1267,2,
35,Serbia,657716,2846,5920,39,579625,3854,72171,239,75518,680,3661150,420365,8,709,451,13,1471,2,
36,Switzerland,632399,2205,10503,5,566679,1829,55217,222,72651,1207,6538153,751111,8,704,639,14,829,1,
37,Austria,589299,2416,9843,30,550470,2866,28986,558,65137,1088,28298620,3127945,9,47,32,15,919,0,
38,Japan,520745,4576,9538,39,475574,2184,35633,670,4127,76,10754285,85237,126,169,398,242,13228,12,
39,Lebanon,506808,2008,6854,45,420223,3599,79731,795,74518,1008,3796562,558220,6,801,193,13,992,2,
40,Morocco,504847,587,8934,7,490921,555,4992,243,13551,240,6137435,164738,37,255,697,74,4170,6,
41,UAE,493266,1843,1547,2,476518,1506,15201,,49402,155,41349068,4141257,9,984,665,20,6454,0,
42,Saudi Arabia,403106,964,6801,10,387020,918,9285,1034,11439,193,16072606,456077,35,240,955,87,5182,2,
43,Bulgaria,384887,2126,15100,121,304033,3642,65754,801,55725,2186,2349606,340182,6,906,904,18,457,3,
44,Slovakia,374586,636,10970,93,255300,,108316,452,68584,2009,2473314,452844,5,461,737,15,498,2,
45,Malaysia,370528,2551,1365,2,350563,1524,18600,227,11334,42,8472685,259159,32,693,19,88,23951,4,
46,Panama,360249,419,6185,2,350134,416,3930,105,82470,1416,2283594,522769,4,368,267,12,706,2,
47,Ecuador,355964,533,17528,39,298604,,39832,631,19937,982,1218869,68268,17,854,124,50,1019,15,
48,Belarus,341539,1516,2403,10,331972,1489,7164,,36154,254,5627834,595736,9,446,860,28,3931,2,
49,Greece,311033,3027,9330,91,266175,1851,35528,824,29957,899,7379458,710749,10,382,653,33,1113,1,
50,Croatia,303598,2698,6486,44,281059,1908,16053,186,74317,1588,1683651,412137,4,85,169,13,630,2,
51,Azerbaijan,296374,2163,4077,32,260193,2251,32104,,29024,399,3082157,301836,10,211,352,34,2505,3,
52,Georgia,293321,1077,3916,8,279831,442,9574,,73641,983,3822921,959786,3,983,96,14,1017,1,
53,Bolivia,286114,823,12603,84,235495,899,38016,71,24250,1068,1027781,87111,11,798,547,41,936,11,
54,Nepal,282890,836,3070,4,274812,208,5008,,9574,104,2335084,79024,29,549,209,104,9625,13,
55,Tunisia,281777,2401,9639,86,232643,1358,39495,457,23646,809,1215518,102005,11,916,231,42,1236,10,
56,Kazakhstan,281351,2656,3333,27,241625,2177,36393,221,14844,176,9464077,499321,18,953,882,67,5687,2,
57,Palestine,278135,1728,2955,18,243522,2179,31658,172,53544,569,1670034,321499,5,194,531,19,1758,3,
58,Dominican Republic,260133,494,3410,5,218010,397,38713,152,23792,312,1363804,124733,10,933,789,42,3206,8,
59,Kuwait,254472,1406,1436,8,237667,1283,15369,247,58901,332,2205047,510388,4,320,337,17,3009,2,
60,Moldova,244866,689,5521,28,228766,1197,10579,282,60813,1371,927765,230413,4,26,529,16,729,4,
