#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,China,90510,+11,4636 ,,85559,+10,315,6,63,3,160000000,111163,1439323776 ,15902,310467,9
2,USA,32475043,+51650,581542 ,+488,25043463,+77547,6850038,9817,97654,1749,430886619,1295692,332553223,10,572,1
3,India,15314714,+256947,180550 ,+1757,13103220,+154372,2030944,8944,11011,130,267894549,192615,1390827315,91,7703,5
4,Brazil,13977713,+34642,375049 ,+1607,12460712,+69113,1141952,8318,65388,1754,28600000,133791,213765924,15,570,7
5,France,5296222,+6696,101180 ,+447,4151289,+35205,1043753,5970,80996,1547,72613536,1110485,65389040,12,646,1
6,Russia,4710690,+8589,105928 ,+346,4333598,+6818,271164,2300,32268,726,126000000,863105,145984544,31,1378,1
7,UK,4390783,+2963,127274 ,+4,4156135,+5567,107374,332,64408,1867,140944028,2067509,68170950,16,536,0
8,Turkey,4323596,+55149,36267 ,+341,3736537,+48947,550792,3319,50828,426,44087628,518295,85062751,20,2345,2
9,Italy,3878994,+8864,117243 ,+316,3268262,+19669,493489,3244,64232,1941,55241172,914731,60390627,16,515,1
10,Spain,3428354,+6898,77102 ,+40,3144353,+5040,206899,2276,73304,1649,44374223,948790,46769272,14,607,1
11,Germany,3164447,+13417,80774 ,+183,2787200,+12000,296473,4932,37673,962,52737238,627838,83998156,27,1040,2
12,Argentina,2714475,+20461,59476 ,+248,2386383,+22212,268616,4304,59624,1306,10221233,224511,45526683,17,765,4
13,Poland,2695325,+7281,62133 ,+101,2334978,+23833,298214,3346,71280,1643,13503602,357111,37813420,14,609,3
14,Colombia,2667136,+14189,68748 ,+420,2488246,+16748,110142,4299,51975,1340,13907796,271026,51315383,19,746,4
15,Mexico,2305602,+1506,212339 ,+111,1829480,+2834,263783,4798,17734,1633,6407248,49282,130013061,56,612,20
16,Iran,2261435,+24346,67130 ,+398,1797319,+11961,396986,4843,26652,791,14500500,170897,84849562,38,1264,6
17,Ukraine,1953016,+6506,40000 ,+214,1487677,+5598,425339,177,44873,919,8958482,205833,43523050,22,1088,5
18,Peru,1707787,+3030,57537 ,+307,1636286,+8317,13964,2574,51227,1726,10461475,313803,33337663,20,579,3
19,Indonesia,1609300,+4952,43567 ,+143,1461414,+6349,104319,,5834,158,13891160,50361,275830191,171,6331,20
20,Czechia,1602729,+829,28604 ,+69,1514953,+48,59172,879,149440,2667,15718197,1465583,10724874,7,375,1
21,South Africa,1567513,+744,53757 ,+21,1490876,+733,22880,546,26167,897,10355196,172862,59904554,38,1114,6
22,Netherlands,1410950,+7117,16938 ,+22,1177664,+7581,216348,801,82198,987,11781337,686350,17165198,12,1013,1
23,Canada,1131773,+10275,23667 ,+44,1019779,+9829,88327,1167,29779,623,30041115,790426,38006231,34,1606,1
24,Chile,1131340,+6622,25277 ,+100,1060826,+7191,45237,3364,58780,1313,12426663,645636,19247158,17,761,2
25,Romania,1031072,+1768,26381 ,+149,944774,+3982,59917,1448,53885,1379,7914543,413621,19134752,19,725,2
