#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,China,90520,+10,4636 ,,85573,+14,311,5,63,3,160000000,111163,1439323776 ,15901,310467,9
2,USA,32536994,+60841,582454 ,+883,25103616,+60153,6850924,10048,97837,1751,431941723,1298824,332563810,10,571,1
3,India,15609004,+294290,182570 ,+2020,13269863,+166643,2156571,8944,11222,131,269414035,193697,1390901395,89,7618,5
4,Brazil,14050885,+73172,378530 ,+3481,12561689,+100977,1110666,8318,65728,1771,28600000,133786,213774168,15,565,7
5,France,5339320,+42498,101568 ,+346,4181381,+30092,1056371,5984,81654,1553,72873077,1114441,65389827,12,644,1
6,Russia,4718854,+8164,106307 ,+379,4343229,+9631,269318,2300,32324,728,126200000,864473,145984885,31,1373,1
7,UK,4393307,+2524,127305 ,+31,4161433,+5298,104569,318,64444,1867,145197408,2129841,68172895,16,536,0
8,Turkey,4384624,+61028,36613 ,+346,3792129,+55592,555882,3375,51543,430,44409756,522052,85067708,19,2323,2
9,Italy,3891055,+12066,117633 ,+390,3290715,+22453,482707,3151,64432,1948,55535217,919607,60390143,16,513,1
10,Spain,3435840,+7486,77216 ,+114,3147281,+2928,211343,2289,73463,1651,44374223,948788,46769371,14,606,1
11,Germany,3180810,+16363,81086 ,+312,2803600,+16400,296124,4932,37867,965,52737238,627827,83999616,26,1036,2
12,Argentina,2743620,+29145,59792 ,+316,2407853,+21470,275975,4366,60261,1313,10320622,226683,45528947,17,761,4
13,Poland,2704567,+9242,62733 ,+600,2354652,+19674,287182,3287,71524,1659,13687251,361970,37813194,14,603,3
14,Colombia,2684101,+16965,69177 ,+429,2505738,+17492,109186,5306,52303,1348,13978773,272393,51318345,19,742,4
15,Mexico,2306910,+1308,212466 ,+127,1833132,+3652,261312,4798,17743,1634,6412677,49321,130020459,56,612,20
16,Iran,2286927,+25492,67525 ,+395,1810531,+13212,408871,4911,26951,796,14613010,172211,84855437,37,1257,6
17,Ukraine,1961956,+8940,40367 ,+367,1499752,+12075,421837,177,45080,928,8958482,205840,43521622,22,1078,5
18,Peru,1719088,+11301,57954 ,+417,1645100,+8814,16034,2580,51562,1738,10524419,315668,33340173,19,575,3
19,Indonesia,1614849,+5549,43777 ,+210,1468142,+6728,102930,,5854,159,13939364,50533,275845986,171,6301,20
20,Czechia,1606078,+3331,28703 ,+68,1519816,+193,57559,888,149751,2676,15989327,1490849,10724982,7,374,1
