#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,USA,31933621,57396,575838,285,24481716,57081,6876067,9200,96036,1732,419416968,1261343,332516170,10,577,1
2,India,13525379,169914,170209,904,12153713,75380,1201457,8944,9727,122,256626850,184548,1390568032,103,8170,5
3,Brazil,13482543,37537,353293,1824,11880803,42239,1248447,8318,63080,1653,28600000,133809,213737070,16,605,7
4,France,5058680,34895,98750,176,309787,6148,4650143,5838,77366,1510,69627924,1064870,65386285,13,662,1
5,Russia,4641390,8702,102986,337,4265509,7230,272895,2300,31794,705,123700000,847357,145983351,31,1418,1
6,UK,4369775,1730,127087,7,3972029,10291,270659,406,64107,1864,135566677,1988827,68164143,16,536,1
7,Turkey,3849011,50678,33939,237,3331411,30194,483661,2824,45258,399,41591854,489055,85045404,22,2506,2
8,Italy,3769805,15737,114254,331,3122555,15486,532996,3585,62422,1892,53054866,878504,60392321,16,529,1
9,Spain,3362810,9107,76460,66,3095922,,190428,2050,71903,1635,43458915,929226,46768927,14,612,1
10,Germany,3009541,16738,78964,106,2671200,9700,259377,4515,35831,940,51559277,613852,83993045,28,1064,2
11,Poland,2574634,21706,58420,244,2171301,28236,344913,3459,68086,1545,12912603,341475,37814209,15,647,3
12,Colombia,2536198,17483,65889,281,2383785,8609,86524,3079,49434,1284,13314269,259512,51305017,20,779,4
13,Argentina,2532562,15262,57779,132,2233140,15357,241643,3789,55638,1269,9590737,210699,45518759,18,788,5
14,Mexico,2278420,6356,209212,51,1807676,2763,261532,4798,17528,1609,6265261,48199,129987170,57,621,21
15,Iran,2070141,21063,64490,258,1710974,8912,294677,4392,24404,760,13673466,161189,84829001,41,1315,6
16,Ukraine,1853249,12112,37014,235,1410860,5034,405375,177,42576,850,8622424,198089,43528048,23,1176,5
17,Peru,1647694,7927,54903,234,1566543,8764,26248,2302,49437,1647,10001832,300095,33328876,20,607,3
18,Czechia,1580212,2202,27916,90,1473127,163,79169,1220,147346,2603,14308617,1334200,10724495,7,384,1
19,Indonesia,1566995,4127,42530,87,1414507,5219,109958,,5682,154,13386975,48543,275774906,176,6484,21
20,South Africa,1558458,931,53322,66,1483296,614,21840,546,26022,890,10138936,169292,59890253,38,1123,6
21,Netherlands,1350665,8218,16771,17,N/A,N/A,N/A,781,78690,977,11292587,657905,17164474,13,1023,2
22,Chile,1076499,7945,24346,133,1005860,7460,46293,3155,55939,1265,11897931,618266,19244023,18,790,2
23,Canada,1060158,7619,23315,28,963396,4763,73447,928,27899,614,28999787,763154,37999909,36,1630,1
24,Romania,1006167,3302,25135,129,906659,4420,74373,1531,52577,1313,7687854,401723,19137193,19,761,2
25,Iraq,924946,6791,14713,35,814853,5190,95380,436,22603,360,8508732,207928,40921569,44,2781,5
26,Belgium,922487,4570,23428,38,59432,267,839627,925,79327,2015,11670137,1003540,11628975,13,496,1
27,Philippines,864847,11660,14945,201,703358,55158,146544,751,7811,135,10764163,97224,110715077,128,7408,10
28,Sweden,857401,,13621,,N/A,N/A,N/A,376,84487,1342,7847033,773231,10148363,12,745,1
29,Israel,835933,122,6296,4,826205,690,3432,259,90886,685,13740302,1493902,9197590,11,1461,1
30,Portugal,827494,566,16916,6,784618,410,25960,113,81339,1663,9363361,920372,10173455,12,601,1
31,Pakistan,721018,5050,15443,114,631700,4139,73875,4143,3216,69,10734960,47877,224218687,311,14519,21
32,Hungary,720164,6296,23417,206,426394,3028,270353,1290,74697,2429,4934786,511845,9641167,13,412,2
33,Bangladesh,684756,5819,9739,78,576590,4212,98427,,4126,59,5002865,30144,165966798,242,17041,33
34,Jordan,665735,3340,7773,65,596293,7940,61669,729,64748,756,6320767,614741,10281995,15,1323,2
35,Serbia,642208,2732,5735,35,555672,5434,80801,266,73734,658,3588296,411982,8709834,14,1519,2
36,Switzerland,617543,,10453,1,559385,910,47705,189,70950,1201,6339396,728336,8703948,14,833,1
37,Austria,577007,2252,9687,25,535798,3259,31522,602,63783,1071,26679075,2949114,9046471,16,934,0
38,Japan,503403,3610,9382,29,463725,2732,30296,520,3990,74,10430419,82667,126173611,251,13448,12
39,Morocco,502102,414,8900,9,488361,346,4841,237,13479,239,6101279,163789,37250917,74,4185,6
40,Lebanon,496846,2213,6661,31,402172,,88013,833,73049,979,3694320,543160,6801526,14,1021,2
41,UAE,483747,1810,1531,2,468456,1652,13760,,48455,153,40263802,4033092,9983359,21,6521,0
42,Saudi Arabia,398435,799,6754,7,383321,548,8360,915,11308,192,15797442,448345,35235026,88,5217,2
43,Bulgaria,371993,462,14418,67,286258,459,71317,797,53854,2087,2270329,328677,6907472,19,479,3
44,Slovakia,371062,589,10565,78,255300,,105197,510,67939,1934,2439970,446741,5461708,15,517,2
45,Malaysia,360856,1739,1329,8,343953,1216,15574,183,11039,41,8204996,251006,32688487,91,24596,4
