#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,USA,31803216,85516,574853,930,24346766,73897,6881597,9241,95647,1729,416789330,1253481,332,505,583,10,578,1,
2,Brazil,13375414,89090,348934,3647,11791885,59692,1234595,8318,62581,1633,28600000,133814,213,728,826,16,613,7,
3,India,13202783,144829,168467,773,11987940,77199,1046376,8944,9495,121,254041584,182699,1,390,493,952,105,8254,5
4,France,4980501,41243,98395,301,303639,,4578467,5729,76171,1505,68007540,1040101,65,385,498,13,665,1,
5,Russia,4623984,9150,102247,402,4248700,9662,273037,2300,31675,700,123000000,842564,145,983,10,32,1428,1,
6,UK,4365456,3145,127040,60,3957317,11963,281099,421,64045,1864,134289127,1970141,68,162,199,16,537,1,
7,Turkey,3745657,55791,33454,253,3268678,35786,443525,2658,44046,393,40994845,482063,85,40,447,23,2542,2,
8,Italy,3736510,18922,113579,718,3086586,26175,536345,3603,61870,1881,52480874,868992,60,392,805,16,532,1,
9,Spain,3347512,10875,76328,149,3095922,6976,175262,2050,71576,1632,43458915,929228,46,768,828,14,613,1,
10,Germany,2974110,22281,78689,216,2647600,16200,247821,4439,35410,937,51559277,613862,83,991,585,28,1067,2,
11,Poland,2528042,28523,57427,768,2107776,31272,362839,3376,66854,1519,12807584,338696,37,814,435,15,658,3,
12,Colombia,2504206,12125,65283,269,2365566,9734,73357,2603,48813,1273,13174589,256804,51,302,55,20,786,4,
13,Argentina,2497881,24130,57350,228,2203926,14943,236605,3718,54879,1260,9451754,207656,45,516,495,18,794,5,
14,Mexico,2267019,5140,206146,548,1802033,3376,258840,4798,17441,1586,6216314,47825,129,979,772,57,631,21,
15,Iran,2029412,22478,64039,155,1693005,8435,272368,4278,23925,755,13494296,159087,84,823,127,42,1325,6,
16,Ukraine,1823674,19676,36381,419,1395104,11221,392189,177,41895,836,8568004,196832,43,529,477,24,1196,5,
17,Peru,1628519,10655,54285,307,1547807,10722,26427,2313,48866,1629,9876422,296355,33,326,366,20,614,3,
18,Czechia,1573186,5270,27685,111,1448486,375,97015,1311,146692,2581,14038491,1309025,10,724,387,7,387,1,
19,Indonesia,1558145,5265,42348,121,1405659,6277,110138,,5650,154,13280778,48161,275,759,111,177,6512,21,
20,South Africa,1556242,1267,53226,53,1481637,1005,21379,546,25987,889,10086459,168427,59,886,167,38,1125,6,
21,Netherlands,1334771,7635,16731,41,N/A,N/A,N/A,785,77765,975,10795845,628972,17,164,268,13,1026,2,
22,Chile,1060421,9151,24108,129,991676,5391,44637,3075,55106,1253,11751801,610701,19,243,128,18,798,2,
23,Canada,1045278,9255,23251,40,954017,5496,68010,928,27509,612,28725621,755975,37,998,103,36,1634,1,
