#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,USA,32070784,77720,577177,819,24626410,65554,6867197,9540,96446,1736,422126761,1269452,332,526,757,10,576,1,
2,India,13871321,185248,172115,1026,12332688,82248,1366518,8944,9975,124,259207108,186394,1,390,642,113,100,8080,5
3,Brazil,13601566,80157,358718,3687,12074798,117730,1168050,8318,63634,1678,28600000,133804,213,745,314,16,596,7,
4,France,5106329,39113,99480,345,3972182,25998,1034667,5952,78094,1521,70448755,1077411,65,387,72,13,657,1,
5,Russia,4657883,8173,103601,338,4281776,9611,272506,2300,31907,710,124100000,850095,145,983,692,31,1409,1,
6,UK,4375814,2472,127123,23,4106779,6718,141912,377,64193,1865,137848442,2022244,68,166,88,16,536,0,
7,Turkey,3962760,59187,34455,273,3424733,52104,503572,2951,46593,405,42199485,496171,85,50,360,21,2468,2,
8,Italy,3793025,13439,115088,476,3158725,18160,519212,3526,62807,1906,53550491,886717,60,391,837,16,525,1,
9,Spain,3376548,6292,76625,100,3114053,3027,185870,2152,72196,1638,44285495,946898,46,769,25,14,610,1,
10,Germany,3031836,10772,79408,298,2700200,16300,252228,4662,36096,945,51559277,613841,83,994,506,28,1058,2,
11,Poland,2599833,13210,59127,645,2219655,21873,321051,3513,68753,1564,13062929,345452,37,813,984,15,640,3,
12,Argentina,2579000,27001,58174,217,2262875,15751,257951,3836,56655,1278,9743345,214041,45,521,23,18,782,5,
13,Colombia,2569314,16377,66482,326,2408624,12891,94208,4299,50076,1296,13439422,261936,51,307,978,20,772,4,
14,Mexico,2281840,1627,209702,364,1812694,2773,259444,4798,17553,1613,6279527,48306,129,994,567,57,620,21,
15,Iran,2118212,24760,65055,291,1729293,9209,323864,4481,24969,767,13866887,163457,84,834,876,40,1304,6,
16,Ukraine,1872785,11680,37758,457,1430234,14019,404793,177,43026,867,8716400,200254,43,526,620,23,1153,5,
17,Peru,1659707,6387,55489,259,1584425,9183,19793,2599,49794,1665,10086002,302598,33,331,387,20,601,3,
18,Czechia,1585100,3871,28105,77,1482989,346,74006,1144,147800,2621,14635011,1364620,10,724,603,7,382,1,
19,Indonesia,1577526,5702,42782,126,1426145,6349,108599,,5720,155,13510828,48989,275,790,702,175,6446,20,
20,South Africa,1559960,847,53423,67,1485315,959,21222,546,26045,892,10181143,169985,59,894,339,38,1121,6,
21,Netherlands,1364025,6685,16820,29,1140370,5943,206835,782,79467,980,11292587,657897,17,164,681,13,1020,2,
22,Chile,1088710,5790,24518,35,1020925,8021,43267,3203,56571,1274,12021128,624639,19,244,919,18,785,2,
23,Canada,1078562,7546,23392,36,976877,4352,78293,928,28382,616,29251338,769737,38,1,715,35,1625,1,
24,Romania,1012373,3883,25441,193,915464,5166,71468,1530,52903,1329,7736296,404269,19,136,495,19,752,2,
25,Iraq,941078,8179,14796,39,826323,5791,99959,477,22994,362,8599946,210131,40,926,514,43,2766,5,
26,Belgium,927229,1753,23503,30,781818,3568,121908,899,79732,2021,11723475,1008102,11,629,250,13,495,1,
27,Sweden,885378,8880,13721,4,708841,1004,162816,391,87240,1352,7847033,773205,10,148,706,11,740,1,
28,Philippines,884758,8546,15285,136,703885,322,165588,750,7991,138,10857391,98059,110,723,47,125,7244,10,
29,Israel,836334,176,6309,5,826768,274,3257,231,90930,686,13838957,1504629,9197590,11,1458,1,,,
30,Portugal,828173,408,16923,5,785809,746,25441,118,81407,1663,9563681,940077,10,173,293,12,601,1,
31,Pakistan,729920,4318,15619,118,638267,3432,76034,4198,3255,70,10829994,48296,224,242,164,307,14357,21,
32,Hungary,728078,2837,23980,272,431124,2050,272974,1209,75519,2487,4976613,516191,9,641,34,13,402,2,
33,Bangladesh,697985,6028,9891,69,585966,4853,102128,,4205,60,5070788,30551,165,975,757,238,16780,33,
34,Jordan,672090,2790,7937,82,610614,6570,53539,729,65362,772,6372263,619716,10,282,548,15,1296,2,
35,Serbia,648745,3572,5808,35,566122,5188,76815,247,74486,667,3617179,415307,8,709,642,13,1500,2,
36,Switzerland,625367,2241,10472,6,561861,1567,53034,214,71846,1203,6437818,739614,8,704,294,14,831,1,
37,Austria,581263,2313,9748,42,541786,3177,29729,599,64251,1078,27197861,3006367,9,46,752,16,928,0,
38,Japan,508802,2516,9425,25,468770,2854,30607,596,4033,75,10529634,83455,126,171,504,248,13387,12,
39,Morocco,502961,684,8915,6,489288,656,4758,246,13501,239,6116735,164193,37,253,307,74,4179,6,
40,Lebanon,499839,1985,6738,35,411710,5615,81391,844,73491,991,3740454,549957,6,801,360,14,1009,2,
41,UAE,487697,2022,1537,4,471906,1731,14254,,48848,154,40669721,4073485,9,984,12,20,6496,0,
42,Saudi Arabia,400228,951,6773,8,384635,608,8820,962,11358,192,15919088,451759,35,237,991,88,5203,2,
43,Bulgaria,378059,2944,14746,127,293351,3995,69962,799,54734,2135,2303963,333560,6,907,188,18,468,3,
44,Slovakia,372038,870,10716,86,255300,,106022,506,68117,1962,2449747,448530,5,461,722,15,510,2,
45,Malaysia,363940,1767,1345,12,346295,1290,16300,199,11133,41,8292260,253658,32,690,753,90,24305,4,
46,Panama,359121,329,6173,6,348953,399,3995,105,82218,1413,2252943,515796,4,367,896,12,708,2,
47,Ecuador,347589,519,17351,53,298604,8290,31634,600,19470,972,1198764,67148,17,852,660,51,1029,15,
48,Belarus,337635,754,2373,10,327848,761,7414,,35740,251,5570822,589700,9,446,877,28,3981,2,
49,Greece,301103,4017,9054,93,254804,,37245,802,29000,872,7185541,692053,10,382,930,34,1147,1,
50,Croatia,294874,1936,6358,25,276420,1659,12096,192,72179,1556,1652525,404504,4,85,307,14,643,2,
51,Georgia,290129,1374,3894,11,278251,422,7984,,72839,978,3722612,934593,3,983,138,14,1023,1,
52,Azerbaijan,289601,2457,3978,34,253762,2002,31861,,28362,390,3040386,297760,10,210,853,35,2567,3,
53,Bolivia,283084,989,12469,18,232422,876,38193,71,23995,1057,999531,84723,11,797,677,42,946,12,
54,Nepal,280984,460,3058,5,274318,153,3608,,9510,103,2321670,78577,29,546,342,105,9662,13,
55,Tunisia,274604,1664,9396,64,228267,2197,36941,436,23046,789,1191995,100037,11,915,556,43,1268,10,
56,Kazakhstan,273825,2016,3260,24,235862,1197,34703,221,14448,172,9258849,488525,18,952,655,69,5814,2,
57,Palestine,272767,1911,2901,18,237046,2348,32820,182,52517,559,1636553,315093,5,193,881,19,1790,3,
58,Dominican Republic,258637,598,3397,5,217008,228,38232,148,23656,311,1352703,123724,10,933,195,42,3218,8,
59,Kuwait,250273,1544,1419,7,233757,1201,15097,235,57934,328,2178279,504232,4,319,992,17,3044,2,
60,Moldova,242364,544,5438,29,225036,1214,11890,293,60191,1351,909884,225969,4,26,580,17,740,4,
61,Ireland,241684,354,4803,18,221938,365,14943,46,48521,964,4209763,845163,4,981,9,21,1037,1,
62,Paraguay,240141,2599,4978,89,196718,1731,38445,485,33348,691,988044,137206,7,201,165,30,1447,7,
63,Denmark,238869,563,2446,3,228007,763,8416,39,41126,421,29940622,5154860,5,808,232,24,2375,0,
64,Ethiopia,232512,1568,3230,22,173818,1838,55464,967,1984,28,2460888,21000,117,182,537,504,36279,48,
65,Lithuania,227976,1175,3714,13,207391,1426,16871,150,84678,1380,2516597,934749,2,692,270,12,725,1,
66,Slovenia,227843,1056,4130,4,209919,1077,13794,146,109584,1986,1109932,533836,2,79,163,9,503,2,
67,Costa Rica,225343,2799,3044,26,196060,1300,26239,221,43921,593,842015,164116,5,130,600,23,1685,6,
68,Egypt,212130,823,12526,39,160431,432,39173,90,2043,121,2677262,25782,103,842,186,490,8290,39,
69,Guatemala,205322,2013,7057,37,187052,925,11213,5,11297,388,1118361,61535,18,174,497,89,2575,16,
70,Armenia,204053,726,3775,22,183660,824,16618,,68760,1272,909604,306512,2,967,598,15,786,3,
