#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
53,Georgia,299038,+1310,3971 ,+12,282869,+632,12198,,75079,997,3946720,990893,3982992,13,1003,1
54,Kazakhstan,294946,+2696,3459 ,+23,252598,+2418,38889,221,15559,182,9653519,509234,18956949,64,5480,2
55,Tunisia,291833,+2603,9993 ,+75,242238,+3134,39602,493,24487,838,1249409,104834,11917920,41,1193,10
56,Bolivia,291675,+1313,12695 ,+29,240336,+1142,38644,71,24717,1076,1070832,90743,11800723,40,930,11
57,Nepal,289787,+2220,3112 ,+10,276093,+287,10582,,9805,105,2369401,80165,29556378,102,9498,12
58,Palestine,286028,+1748,3096 ,+18,254199,+2536,28733,165,55046,596,1698129,326805,5196155,18,1678,3
59,Dominican Republic,262404,+556,3435 ,+9,219645,+383,39324,188,23996,314,1378669,126075,10935274,42,3183,8
60,Kuwait,261307,+1439,1482  ,+14,244410,+1354,15415,233,60471,343,2246134,519794,4321201,17,2916,2
61,Paraguay,257706,+2660,5561 ,+91,211739,+1985,40406,508,35778,772,1039557,144326,7202841,28,1295,7
62,Moldova,247391,+700,5643 ,+27,234204,+923,7544,243,61442,1401,949995,235941,4026402,16,714,4
63,Ethiopia,246484,+1329,3474 ,+35,183932,+1997,59078,1059,2102,30,2521604,21509,117237164,476,33747,46
64,Denmark,244868,+803,2465 ,+2,232899,+708,9504,41,42156,424,33208745,5717148,5808621,24,2356,0
65,Ireland,244695,+398,4856 ,+9,226272,+509,13567,47,49115,975,4332959,869712,4982064,20,1026,1
66,Lithuania,236606,+1186,3804 ,+16,213970,+852,18832,206,87907,1413,2652037,985320,2691549,11,708,1
67,Slovenia,234067,+1034,4176 ,+4,217715,+1187,12176,153,112577,2008,1140099,548344,2079168,9,498,2
68,Costa Rica,233498,+1531,3115 ,+11,199379,+213,31004,284,45503,607,919324,179153,5131488,22,1647,6
69,Egypt,218902,+861,12866 ,+46,164803,+435,41233,90,2107,124,2677262,25773,103879157,475,8074,39
70,Guatemala,216329,+1629,7309 ,+30,193313,+794,15707,5,11899,402,1187042,65291,18180845,84,2487,15
71,Armenia,210518,+1033,3944 ,+25,190271,+583,16303,,70936,1329,946642,318981,2967704,14,752,3
72,Honduras,202413,+736,4976 ,+13,76446,+107,120991,546,20179,496,564993,56326,10030833,50,2016,18
73,Qatar,199180,+819,400 ,+9,176188,+757,22592,457,70938,142,1854566,660504,2807805 ,14,7020,2
74,Bosnia and Herzegovina,193115,+1239,8082 ,+57,150458,+1185,34575,,59159,2476,880667,269784,3264341,17,404,4
75,Venezuela,186745,+1009,1965 ,+21,169685,+1267,15095,293,6582,69,3359014,118396,28370951,152,14438,8
76,Oman,183770,+1077,1926 ,+17,163750,+1094,18094,264,35271,370,1550000,297488,5210290,28,2705,3
77,Libya,173683,+594,2924 ,+5,158891,+539,11868,,25004,421,937519,134968,6946230,40,2376,7
78,Uruguay,172601,+3274,2083 ,+61,142549,+2959,27969,523,49549,598,1675577,481015,3483421,20,1672,2
79,Bahrain,167165,+1008,607 ,+2,155768,+1057,10790,96,95599,347,3949992,2258945,1748600,10,2881,0
80,Nigeria,164488,+65,2061 ,,154441,+35,7986,11,782,10,1870915,8900,210218749,1278,101998,112
81,Kenya,153488,+965,2540 ,+21,105279,+1441,45669,240,2805,46,1618990,29588,54718020,356,21543,34
82,North Macedonia,148618,+623,4556 ,+47,125593,+765,18469,124,71338,2187,698132,335108,2083305,14,457,3
83,Myanmar,142661,+17,3206 ,,131908,+5,7547,,2608,59,2560807,46813,54703089,383,17063,21
84,Albania,129980,+138,2358 ,+5,103066,+465,24556,18,45206,820,610869,212457,2875264,22,1219,5
85,Algeria,120174,+182,3172 ,+7,83765,+129,33237,19,2701,71,230861,5190,44484988,370,14024,193
86,Estonia,118782,+465,1109 ,+5,104653,+1067,13020,58,89495,836,1244142,937380,1327254,11,1197,1
87,S. Korea,115926,+731,1806 ,+4,105877,+650,8243,116,2260,35,8497594,165630,51304734,443,28408,6
88,Latvia,112983,+759,2079 ,+8,102596,+306,8308,78,60440,1112,2162978,1157084,1869336,17,899,1
89,Norway,109137,+550,734 ,+25,88952,,19451,44,20006,135,5009274,918238,5455313,50,7432,1
90,Sri Lanka,98050,+578,630 ,+5,93668,+121,3752,,4564,29,2374627,110522,21485504,219,34104,9
91,Cuba,96760,+1006,547 ,+9,91034,+967,5179,62,8547,48,3429088,302895,11321043,117,20697,3
92,Montenegro,96048,+154,1444  ,+3,91679,+276,2925,69,152911,2299,364369,580085,628130,7,435,2
93,Kyrgyzstan,92626,+306,1561 ,+4,87390,+161,3675,25,14012,236,946070,143118,6610425,71,4235,7
94,Ghana,91783,+74,772 ,+1,89661,+57,1350,9,2905,24,1049742,33228,31591626,344,40922,30
95,Zambia,91119,+77,1238 ,+2,88956,+56,925,42,4848,66,1360648,72396,18794465,206,15181,14
96,Uzbekistan,87551,+326,640 ,+1,84717,+184,2194,23,2586,19,1377915,40697,33858092,387,52903,25
97,Finland,84797,+296,899 ,+6,46000,,37898,35,15285,162,4309875,776883,5547653,65,6171,1
98,Mozambique,69437,+128,805 ,+3,62342,+19,6290,43,2173,25,507194,15873,31953627,460,39694,63
99,El Salvador,68007,+156,2086 ,+4,64074,+92,1847,59,10442,320,894988,137425,6512536,96,3122,7
100,Luxembourg,65604,+285,788 ,+2,61791,+197,3025,30,103454,1243,2589959,4084226,634137,10,805,0
101,Cameroon,64809,,939 ,,57821,,6049,385,2394,35,1257949,46464,27073410,418,28832,22
102,Singapore,60880,+15,30 ,,60576,+36,274,1,10341,5,9278789,1576062,5887323,97,196244,1
103,Cyprus,58865,+843,295 ,,39061,,19509,71,48471,243,4508669,3712596,1214425,21,4117,0
104,Afghanistan,58346,+132,2561 ,+4,52301,+29,3484,1124,1472,65,388757,9810,39628962,679,15474,102
105,Namibia,46954,+79,609 ,+1,45039,+86,1306,33,18215,236,374942,145454,2577744,55,4233,7
106,Thailand,46643,+1458,110 ,+2,29371,+413,17162,1,667,2,8124896,116168,69941012,1499,635827,9
107,Ivory Coast,45697,+83,277 ,+2,45227,+28,193,,1699,10,573182,21308,26899793,589,97111,47
108,Botswana,44702,,684 ,,39733,,4285,1,18707,286,976728,408740,2389608,53,3494,2
109,Jamaica,44337,+83,744 ,+6,20070,+108,23523,29,14920,250,318544,107197,2971568,67,3994,9
110,Uganda,41475,+53,341 ,,40898,,236,24,884,7,996140,21244,46891054,1131,137510,47
111,Senegal,39910,+74,1096 ,+1,38668,+68,146,11,2334,64,467877,27368,17095982,428,15599,37
112,Zimbabwe,37980,+105,1555 ,+1,35065,+7,1360,12,2526,103,402475,26767,15036385,396,9670,37
113,Malawi,33975,+7,1142 ,,31852,+42,981,15,1740,58,228399,11698,19524446,575,17097,85
114,Madagascar,33592,+390,569 ,+6,26610,+319,6413,348,1189,20,170976,6050,28259161,841,49665,165
115,Sudan,32611,+65,2289 ,+2,26324,+76,3998,,730,51,232965,5216,44667151,1370,19514,192
116,Malta,30063,+24,411 ,,29130,+65,522,,67941,929,851157,1923562,442490,15,1077,1
117,Australia,29574,+15,910 ,,26454,,2210,,1149,35,16443963,638914,25737355,870,28283,2
118,DRC,29233,+149,748 ,,26108,,2377,,319,8,145687,1588,91730216,3138,122634,630
119,Maldives,26920,+253,71 ,,23935,+132,2914,83,49109,130,695905,1269513,548167,20,7721,1
120,Mongolia,25364,+1169,56 ,+5,13346,+486,11962,88,7638,17,2591926,780562,3320589,131,59296,1
121,Angola,24883,+222,570 ,+5,22882,+235,1431,24,739,17,447761,13294,33680369,1354,59088,75
122,Rwanda,24112,+107,327 ,,22579,+19,1206,6,1825,25,1269302,96097,13208558,548,40393,10
123,Gabon,22228,+196,136 ,,18908,+202,3184,28,9802,60,703735,310332,2267685,102,16674,3
124,Guinea,21666,+33,139 ,,19004,+13,2523,24,1615,10,422018,31454,13416924,619,96525,32
125,Syria,21584,+151,1483 ,+15,15216,+128,4885,,1210,83,103566,5805,17840151,827,12030,172
126,Cabo Verde,21179,+398,198 ,+4,18500,+150,2481,23,37763,353,142081,253338,560835,26,2833,4
127,Mayotte,19849,,169 ,,2964,,16716,7,71381,608,165683,595828,278072,14,1645,2
128,Réunion,19343,,141 ,,17653,,1549,36,21482,157,100098,111165,900449,47,6386,9
129,French Polynesia,18722,+2,141 ,,4842,,13739,4,66340,500,26355,93387,282214,15,2002,11
130,French Guiana,18545,+284,96 ,,9995,,8454,12,60831,315,205111,672804,304860,16,3176,1
131,Eswatini,18423,+6,671 ,,17721,+3,31,3,15749,574,179840,153734,1169810,63,1743,7
132,Mauritania,18175,+19,454 ,,17540,+21,181,14,3829,96,224477,47286,4747175,261,10456,21
133,Guadeloupe,13669,+952,185 ,+9,2242,,11242,23,34157,462,171662,428963,400179,29,2163,2
134,Somalia,13459,+135,689 ,+11,5593,+75,7177,,828,42,107545,6619,16246778,1207,23580,151
135,Mali,13336,+90,451 ,+7,7646,+33,5239,,644,22,248587,12000,20715746,1553,45933,83
136,Tajikistan,13308,,90 ,,13218,,0,,1371,9,,,9708844,730,107876,
137,Burkina Faso,13167,,155 ,,12812,,200,,616,7,177733,8321,21360401,1622,137809,120
