#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,USA,32224139,74479,579055,922,24770980,74819,6874104,9759,96904,1741,424903332,1277761,332,537,343,10,574,1,
2,India,14287740,216850,174335,1183,12543978,117832,1569427,8944,10274,125,262003415,188395,1,390,716,194,97,7977,5
3,Brazil,13758093,80529,365954,3774,12236295,65524,1155844,8318,64364,1712,28600000,133799,213,753,558,16,584,7,
4,France,5187879,38045,100091,302,4008331,29975,1079457,5924,79340,1531,71017438,1086095,65,387,859,13,653,1,
5,Russia,4675153,8944,104398,398,4301448,10225,269307,2300,32025,715,124700000,854203,145,984,33,31,1398,1,
6,UK,4380976,2672,127191,30,4133836,5246,119949,351,64267,1866,139824361,2051172,68,168,33,16,536,0,
7,Turkey,4086957,61400,35031,297,3535040,54894,516886,3080,48051,412,42828122,503533,85,55,316,21,2428,2,
8,Italy,3826136,16954,115937,380,3200196,21220,510003,3417,63356,1920,54204890,897560,60,391,353,16,521,1,
9,Spain,3396685,9663,76882,126,3123268,4831,196535,2143,72627,1644,44285495,946896,46,769,124,14,608,1,
10,Germany,3095016,30634,80141,328,2736100,17400,278775,4662,36847,954,52737238,627854,83,995,966,27,1048,2,
11,Poland,2642241,21129,60613,683,2238638,8837,342990,3443,69875,1603,13335088,352652,37,813,758,14,624,3,
12,Argentina,2629156,24999,58925,383,2300232,21746,269999,3900,57754,1294,9903405,217546,45,523,287,17,773,5,
13,Colombia,2602719,16918,67199,380,2432061,12796,103459,4299,50724,1310,13616060,265364,51,310,940,20,764,4,
14,Mexico,2291246,5113,210812,518,1817866,2629,262568,4798,17625,1622,6332152,48708,130,1,965,57,617,21,
15,Iran,2168872,25078,65680,321,1749041,10039,354151,4601,25564,774,14059260,165714,84,840,750,39,1292,6,
16,Ukraine,1903765,16427,38658,433,1453766,11148,411341,177,43739,888,8822097,202689,43,525,192,23,1126,5,
17,Peru,1681063,13326,56149,337,1602034,9097,22880,2603,50431,1684,10226394,306787,33,333,897,20,594,3,
18,Czechia,1593881,3713,28294,85,1495039,309,70548,1076,148618,2638,15102106,1408160,10,724,712,7,379,1,
19,Indonesia,1589359,6177,43073,167,1438254,6362,108032,,5763,156,13659569,49526,275,806,497,174,6403,20,
20,South Africa,1562931,1372,53571,73,1488060,1187,21300,546,26093,894,10259664,171284,59,898,425,38,1118,6,
21,Netherlands,1378145,8734,16861,14,1150716,4903,210568,772,80289,982,11292587,657889,17,164,888,12,1018,2,
22,Chile,1101698,7431,24766,218,1033189,6255,43743,3257,57244,1287,12128654,630197,19,245,815,17,777,2,
23,Canada,1096716,9564,23500,55,990074,6568,83142,1089,28858,618,29497034,776166,38,3,522,35,1617,1,
24,Romania,1020301,3852,25800,195,925395,4742,69106,1518,53319,1348,7811019,408189,19,135,798,19,742,2,
25,Iraq,956874,7824,14885,49,837336,5817,104653,501,23377,364,8690527,212319,40,931,458,43,2750,5,
26,Belgium,935316,4713,23603,37,786295,1578,125418,941,80426,2030,11820183,1016394,11,629,525,12,493,1,
27,Philippines,904245,11389,15593,147,705107,799,183545,750,8166,141,10977922,99140,110,731,18,122,7101,10,
28,Sweden,900138,7655,13752,,718278,6780,168108,391,88692,1355,7847033,773179,10,149,50,11,738,1,
29,Israel,836706,202,6314,2,827447,263,2945,209,90970,686,13914938,1512890,9197590,11,1457,1,,,
30,Portugal,829358,501,16933,2,787011,542,25414,109,81524,1664,9645758,948160,10,173,131,12,601,1,
31,Pakistan,739818,5395,15872,118,646652,4740,77294,4276,3299,71,10942771,48794,224,265,640,303,14130,20,
32,Hungary,736982,5307,24521,256,440498,5154,271963,1156,76443,2543,5033736,522123,9,640,900,13,393,2,
33,Bangladesh,707362,4192,10081,94,597214,5915,100067,,4262,61,5115572,30820,165,984,716,235,16465,32,
34,Jordan,679138,2963,8057,70,621870,4774,49211,729,66044,784,6426320,624940,10,283,101,15,1276,2,
35,Serbia,654870,2971,5881,35,575771,4459,73218,259,75191,675,3646957,418736,8,709,451,13,1481,2,
36,Switzerland,630194,2226,10498,10,564850,1412,54846,213,72397,1206,6505841,747399,8,704,639,14,829,1,
37,Austria,586883,2678,9813,34,547604,2615,29466,577,64870,1085,27703138,3062124,9,47,32,15,922,0,
38,Japan,516169,4000,9499,30,473390,2383,33280,631,4091,75,10670227,84571,126,169,398,244,13282,12,
39,Lebanon,504800,2501,6809,31,416624,3449,81367,795,74222,1001,3778035,555496,6,801,193,13,999,2,
40,Morocco,504260,596,8927,7,490366,438,4967,243,13535,240,6137435,164738,37,255,697,74,4173,6,
41,UAE,491423,1928,1545,4,475012,1614,14866,,49218,155,41150933,4121413,9,984,665,20,6463,0,
42,Saudi Arabia,402142,985,6791,10,386102,661,9249,999,11411,193,16018862,454552,35,240,955,88,5189,2,
43,Bulgaria,382761,2185,14979,108,300391,3393,67391,811,55417,2169,2333971,337919,6,906,904,18,461,3,
44,Slovakia,373950,843,10877,79,255300,,107773,472,68467,1991,2465652,451441,5,461,737,15,502,2,
45,Malaysia,367977,2148,1363,10,349039,1259,17575,212,11256,42,8407970,257179,32,693,19,89,23986,4,
46,Panama,359830,314,6183,6,349718,400,3929,105,82374,1415,2272867,520313,4,368,267,12,706,2,
47,Ecuador,355431,4892,17489,89,298604,,39338,601,19908,980,1215898,68102,17,854,124,50,1021,15,
48,Belarus,340023,1222,2393,10,330483,1348,7147,,35993,253,5608959,593738,9,446,860,28,3948,2,
49,Greece,308006,3822,9239,104,264324,3148,34443,819,29665,890,7314249,704468,10,382,653,34,1124,1,
50,Croatia,300900,2927,6442,43,279151,1457,15307,179,73657,1577,1674418,409877,4,85,169,14,634,2,
51,Azerbaijan,294211,2317,4045,36,257942,2109,32224,,28812,396,3068679,300516,10,211,352,35,2524,3,
52,Georgia,292244,1030,3908,7,279389,706,8947,,73371,981,3791276,951841,3,983,96,14,1019,1,
53,Bolivia,285291,1108,12519,23,234596,950,38176,71,24180,1061,1019593,86417,11,798,547,41,942,12,
54,Nepal,282054,490,3066,5,274604,157,4384,,9545,104,2329547,78836,29,549,209,105,9638,13,
55,Tunisia,279376,2649,9553,73,231285,1531,38538,450,23445,802,1207304,101316,11,916,231,43,1247,10,
56,Kazakhstan,278695,2641,3306,20,239448,2002,35941,221,14704,174,9401901,496041,18,953,882,68,5733,2,
57,Palestine,276407,1717,2937,14,241343,2052,32127,177,53211,565,1663545,320249,5,194,531,19,1769,3,
58,Dominican Republic,259639,379,3405,3,217613,327,38621,156,23746,311,1360208,124404,10,933,789,42,3211,8,
59,Kuwait,253066,1391,1428,5,236384,1331,15254,244,58576,331,2195787,508244,4,320,337,17,3025,2,
60,Paraguay,244528,2367,5110,70,200259,1786,39159,504,33954,710,1001158,139018,7,201,644,29,1409,7,
61,Moldova,244177,812,5493,27,227569,1244,11115,290,60642,1364,922034,228990,4,26,529,16,733,4,
62,Ireland,242402,297,4820,8,222851,347,14731,51,48662,968,4241709,851525,4,981,310,21,1033,1,
63,Denmark,240330,798,2449,2,229372,687,8509,37,41377,422,30797340,5302259,5,808,343,24,2372,0,
64,Ethiopia,236554,2149,3285,33,175879,1288,57390,1031,2018,28,2478471,21148,117,198,144,495,35677,47,
